Tipo,País,Setor,Ativo
Equity,Brasil,Comunicação,A1TH34.SA
Equity,Brasil,Comunicação,ATOM3.SA
Equity,Brasil,Comunicação,ATTB34.SA
Equity,Brasil,Comunicação,B1IL34.SA
Equity,Brasil,Comunicação,BIDU34.SA
Equity,Brasil,Comunicação,BMOB3.SA
Equity,Brasil,Comunicação,BRIT3.SA
Equity,Brasil,Comunicação,C1AB34.SA
Equity,Brasil,Comunicação,C1BS34.SA
Equity,Brasil,Comunicação,CASH3.SA
Equity,Brasil,Comunicação,CHCM34.SA
Equity,Brasil,Comunicação,CMCS34.SA
Equity,Brasil,Comunicação,D2AS34.SA
Equity,Brasil,Comunicação,DESK3.SA
Equity,Brasil,Comunicação,DISB34.SA
Equity,Brasil,Comunicação,DOTZ3.SA
Equity,Brasil,Comunicação,DTCY3.SA
Equity,Brasil,Comunicação,EAIN34.SA
Equity,Brasil,Comunicação,ELMD3.SA
Equity,Brasil,Comunicação,F2VR34.SA
Equity,Brasil,Comunicação,FIQE3.SA
Equity,Brasil,Comunicação,FOXC34.SA
Equity,Brasil,Comunicação,GOGL34.SA
Equity,Brasil,Comunicação,GOGL35.SA
Equity,Brasil,Comunicação,I1QY34.SA
Equity,Brasil,Comunicação,K1TC34.SA
Equity,Brasil,Comunicação,L1MN34.SA
Equity,Brasil,Comunicação,L1YV34.SA
Equity,Brasil,Comunicação,LBRD34.SA
Equity,Brasil,Comunicação,LVTC3.SA
Equity,Brasil,Comunicação,M1TA34.SA
Equity,Brasil,Comunicação,M1TC34.SA
Equity,Brasil,Comunicação,NETE34.SA
Equity,Brasil,Comunicação,NFLX34.SA
Equity,Brasil,Comunicação,O1MC34.SA
Equity,Brasil,Comunicação,OIBR3.SA
Equity,Brasil,Comunicação,OIBR4.SA
Equity,Brasil,Comunicação,P2IN34.SA
Equity,Brasil,Comunicação,R1KU34.SA
Equity,Brasil,Comunicação,R2BL34.SA
Equity,Brasil,Comunicação,S1KM34.SA
Equity,Brasil,Comunicação,S1PO34.SA
Equity,Brasil,Comunicação,SRXM34.SA
Equity,Brasil,Comunicação,T1LK34.SA
Equity,Brasil,Comunicação,T1MU34.SA
Equity,Brasil,Comunicação,T1TW34.SA
Equity,Brasil,Comunicação,T1WL34.SA
Equity,Brasil,Comunicação,TELB3.SA
Equity,Brasil,Comunicação,TELB4.SA
Equity,Brasil,Comunicação,TIMS3.SA
Equity,Brasil,Comunicação,TLNC34.SA
Equity,Brasil,Comunicação,V1OD34.SA
Equity,Brasil,Comunicação,VERZ34.SA
Equity,Brasil,Comunicação,VIVT3.SA
Equity,Brasil,Comunicação,W1BO34.SA
Equity,Brasil,Comunicação,W1MG34.SA
Equity,Brasil,Consumo Cíclico,A1AP34.SA
Equity,Brasil,Consumo Cíclico,A1CR34.SA
Equity,Brasil,Consumo Cíclico,AHEB3.SA
Equity,Brasil,Consumo Cíclico,AIRB34.SA
Equity,Brasil,Consumo Cíclico,ALPA3.SA
Equity,Brasil,Consumo Cíclico,ALPA4.SA
Equity,Brasil,Consumo Cíclico,AMAR3.SA
Equity,Brasil,Consumo Cíclico,AMER3.SA
Equity,Brasil,Consumo Cíclico,AMZO34.SA
Equity,Brasil,Consumo Cíclico,APTV34.SA
Equity,Brasil,Consumo Cíclico,ARZZ3.SA
Equity,Brasil,Consumo Cíclico,AZOI34.SA
Equity,Brasil,Consumo Cíclico,B1BW34.SA
Equity,Brasil,Consumo Cíclico,B1WA34.SA
Equity,Brasil,Consumo Cíclico,BABA34.SA
Equity,Brasil,Consumo Cíclico,BBYY34.SA
Equity,Brasil,Consumo Cíclico,BHIA3.SA
Equity,Brasil,Consumo Cíclico,BKNG34.SA
Equity,Brasil,Consumo Cíclico,BMKS3.SA
Equity,Brasil,Consumo Cíclico,C1CL34.SA
Equity,Brasil,Consumo Cíclico,C1MG34.SA
Equity,Brasil,Consumo Cíclico,C2HD34.SA
Equity,Brasil,Consumo Cíclico,CAMB3.SA
Equity,Brasil,Consumo Cíclico,CEAB3.SA
Equity,Brasil,Consumo Cíclico,CEDO3.SA
Equity,Brasil,Consumo Cíclico,CEDO4.SA
Equity,Brasil,Consumo Cíclico,CGRA3.SA
Equity,Brasil,Consumo Cíclico,CGRA4.SA
Equity,Brasil,Consumo Cíclico,CRIP34.SA
Equity,Brasil,Consumo Cíclico,CTKA3.SA
Equity,Brasil,Consumo Cíclico,CTKA4.SA
Equity,Brasil,Consumo Cíclico,CTNM3.SA
Equity,Brasil,Consumo Cíclico,CTNM4.SA
Equity,Brasil,Consumo Cíclico,CTSA3.SA
Equity,Brasil,Consumo Cíclico,CTSA4.SA
Equity,Brasil,Consumo Cíclico,CVCB3.SA
Equity,Brasil,Consumo Cíclico,CYRE3.SA
Equity,Brasil,Consumo Cíclico,D1HI34.SA
Equity,Brasil,Consumo Cíclico,D2KN34.SA
Equity,Brasil,Consumo Cíclico,D2PZ34.SA
Equity,Brasil,Consumo Cíclico,DOHL4.SA
Equity,Brasil,Consumo Cíclico,E2TS34.SA
Equity,Brasil,Consumo Cíclico,EBAY34.SA
Equity,Brasil,Consumo Cíclico,ENJU3.SA
Equity,Brasil,Consumo Cíclico,ESPA3.SA
Equity,Brasil,Consumo Cíclico,ESTR4.SA
Equity,Brasil,Consumo Cíclico,EXCO32.SA
Equity,Brasil,Consumo Cíclico,FDMO34.SA
Equity,Brasil,Consumo Cíclico,FRAS3.SA
Equity,Brasil,Consumo Cíclico,FRIO3.SA
Equity,Brasil,Consumo Cíclico,GFSA3.SA
Equity,Brasil,Consumo Cíclico,GMAT3.SA
Equity,Brasil,Consumo Cíclico,GMCO34.SA
Equity,Brasil,Consumo Cíclico,GPSI34.SA
Equity,Brasil,Consumo Cíclico,GRND3.SA
Equity,Brasil,Consumo Cíclico,GUAR3.SA
Equity,Brasil,Consumo Cíclico,H1AS34.SA
Equity,Brasil,Consumo Cíclico,H1BI34.SA
Equity,Brasil,Consumo Cíclico,H1LT34.SA
