Data,Categoria,País,Setor,Ativo,Operação,Patrimônio
2024-10-09,Equity,Brasil,Imobiliário,ALOS3.SA,Long,52357.5
2024-10-10,Equity,Brasil,Imobiliário,ALOS3.SA,Long,51589.59017753601
2024-10-11,Equity,Brasil,Imobiliário,ALOS3.SA,Long,51473.24195289612
2024-10-14,Equity,Brasil,Imobiliário,ALOS3.SA,Long,51938.63928985596
2024-10-15,Equity,Brasil,Imobiliário,ALOS3.SA,Long,52334.22946739197
2024-10-16,Equity,Brasil,Imobiliário,ALOS3.SA,Long,52636.74195289612
2024-10-09,Equity,Brasil,Indústria,ARML3.SA,Long,74993.95999999999
2024-10-10,Equity,Brasil,Indústria,ARML3.SA,Long,74708.44909238815
2024-10-11,Equity,Brasil,Indústria,ARML3.SA,Long,76231.17217826843
2024-10-14,Equity,Brasil,Indústria,ARML3.SA,Long,77468.38326740265
2024-10-15,Equity,Brasil,Indústria,ARML3.SA,Long,80037.96854782104
2024-10-16,Equity,Brasil,Indústria,ARML3.SA,Long,80608.99254131317
2024-10-09,Equity,Brasil,Financeiro,BRAP3.SA,Long,32369.81
2024-10-10,Equity,Brasil,Financeiro,BRAP3.SA,Long,50883.16847419739
2024-10-11,Equity,Brasil,Financeiro,BRAP3.SA,Long,51540.28261566162
2024-10-14,Equity,Brasil,Financeiro,BRAP3.SA,Long,51454.570653915405
2024-10-15,Equity,Brasil,Financeiro,BRAP3.SA,Long,50797.461961746216
2024-10-16,Equity,Brasil,Financeiro,BRAP3.SA,Long,51140.29891014099
2024-10-09,Equity,Brasil,Utilidades,CEBR6.SA,Long,52371.36
2024-10-10,Equity,Brasil,Utilidades,CEBR6.SA,Long,52488.0
2024-10-11,Equity,Brasil,Utilidades,CEBR6.SA,Long,52196.39888763428
2024-10-14,Equity,Brasil,Utilidades,CEBR6.SA,Long,51059.16066741943
2024-10-15,Equity,Brasil,Utilidades,CEBR6.SA,Long,51759.0
2024-10-16,Equity,Brasil,Utilidades,CEBR6.SA,Long,51321.60111236572
2024-10-09,Equity,Brasil,Matéria Prima,DEXP3.SA,Long,52364.07
2024-10-10,Equity,Brasil,Matéria Prima,DEXP3.SA,Long,52599.14887905121
2024-10-11,Equity,Brasil,Matéria Prima,DEXP3.SA,Long,51129.89887905121
2024-10-14,Equity,Brasil,Matéria Prima,DEXP3.SA,Long,52128.989327430725
2024-10-15,Equity,Brasil,Matéria Prima,DEXP3.SA,Long,53128.07977581024
2024-10-16,Equity,Brasil,Matéria Prima,DEXP3.SA,Long,52657.92022418976
2024-10-09,Equity,Brasil,Matéria Prima,GGBR4.SA,Long,52361.4
2024-10-10,Equity,Brasil,Matéria Prima,GGBR4.SA,Long,52279.49895858765
2024-10-11,Equity,Brasil,Matéria Prima,GGBR4.SA,Long,50313.90083312988
2024-10-14,Equity,Brasil,Matéria Prima,GGBR4.SA,Long,50395.79750061035
2024-10-15,Equity,Brasil,Matéria Prima,GGBR4.SA,Long,50068.20041656494
2024-10-16,Equity,Brasil,Matéria Prima,GGBR4.SA,Long,50095.50104141235
2024-10-09,Equity,Brasil,Consumo Cíclico,GMAT3.SA,Long,74999.16
2024-10-10,Equity,Brasil,Consumo Cíclico,GMAT3.SA,Long,74791.9778265953
2024-10-11,Equity,Brasil,Consumo Cíclico,GMAT3.SA,Long,75413.5221734047
2024-10-14,Equity,Brasil,Consumo Cíclico,GMAT3.SA,Long,75102.75
2024-10-15,Equity,Brasil,Consumo Cíclico,GMAT3.SA,Long,75827.8817782402
2024-10-16,Equity,Brasil,Consumo Cíclico,GMAT3.SA,Long,76242.24138307571
2024-10-09,Equity,Brasil,Indústria,KEPL3.SA,Long,52367.25
2024-10-10,Equity,Brasil,Indústria,KEPL3.SA,Long,50755.94897556305
2024-10-11,Equity,Brasil,Indústria,KEPL3.SA,Long,50541.10918045044
2024-10-14,Equity,Brasil,Indústria,KEPL3.SA,Long,49896.58979511261
2024-10-15,Equity,Brasil,Indústria,KEPL3.SA,Long,49681.75
2024-10-16,Equity,Brasil,Indústria,KEPL3.SA,Long,50326.26938533783
2024-10-09,Equity,Brasil,Energia,PETR4.SA,Long,52370.560000000005
2024-10-10,Equity,Brasil,Energia,PETR4.SA,Long,52107.602111816406
2024-10-11,Equity,Brasil,Energia,PETR4.SA,Long,52066.07852172852
2024-10-14,Equity,Brasil,Energia,PETR4.SA,Long,52190.63873291016
2024-10-15,Equity,Brasil,Energia,PETR4.SA,Long,51761.602111816406
2024-10-16,Equity,Brasil,Energia,PETR4.SA,Long,51858.481689453125
2024-10-09,Equity,Brasil,Tecnologia,POSI3.SA,Long,52367.83
2024-10-10,Equity,Brasil,Tecnologia,POSI3.SA,Long,52191.20865249634
2024-10-11,Equity,Brasil,Tecnologia,POSI3.SA,Long,52191.20865249634
2024-10-14,Equity,Brasil,Tecnologia,POSI3.SA,Long,53515.85949468613
2024-10-15,Equity,Brasil,Tecnologia,POSI3.SA,Long,52367.82848405838
2024-10-16,Equity,Brasil,Tecnologia,POSI3.SA,Long,53162.61983156204
2024-10-09,Equity,Brasil,Saúde,RADL3.SA,Long,74995.01999999999
2024-10-10,Equity,Brasil,Saúde,RADL3.SA,Long,76647.03047561646
2024-10-11,Equity,Brasil,Saúde,RADL3.SA,Long,75992.4573841095
2024-10-14,Equity,Brasil,Saúde,RADL3.SA,Long,76958.7316646576
2024-10-15,Equity,Brasil,Saúde,RADL3.SA,Long,77488.62190246582
2024-10-16,Equity,Brasil,Saúde,RADL3.SA,Long,78486.06095123291
2024-10-09,Equity,Brasil,Indústria,TASA4.SA,Long,52360.47
2024-10-10,Equity,Brasil,Indústria,TASA4.SA,Long,50310.06209850311
2024-10-11,Equity,Brasil,Indústria,TASA4.SA,Long,50260.05095386505
2024-10-14,Equity,Brasil,Indústria,TASA4.SA,Long,50010.0
2024-10-15,Equity,Brasil,Indústria,TASA4.SA,Long,49609.92038154602
2024-10-16,Equity,Brasil,Indústria,TASA4.SA,Long,49959.98885536194
2024-10-09,Equity,Brasil,Matéria Prima,UNIP6.SA,Long,52380.0
2024-10-10,Equity,Brasil,Matéria Prima,UNIP6.SA,Long,52188.74931335449
2024-10-11,Equity,Brasil,Matéria Prima,UNIP6.SA,Long,52402.50205993652
2024-10-14,Equity,Brasil,Matéria Prima,UNIP6.SA,Long,52537.500858306885
2024-10-15,Equity,Brasil,Matéria Prima,UNIP6.SA,Long,52076.25102996826
2024-10-16,Equity,Brasil,Matéria Prima,UNIP6.SA,Long,51941.24794006348
